CBSA_CODE,CBSA_TITLE,AREA_TYPE,CSA_TITLE,COUNTY,STATE_NAME,IS_CENTRAL
10100,"Aberdeen, SD",Micro,,Brown County,South Dakota,1
10100,"Aberdeen, SD",Micro,,Edmunds County,South Dakota,0
10140,"Aberdeen, WA",Micro,,Grays Harbor County,Washington,1
10180,"Abilene, TX",Metro,,Callahan County,Texas,0
10180,"Abilene, TX",Metro,,Jones County,Texas,0
10180,"Abilene, TX",Metro,,Taylor County,Texas,1
10220,"Ada, OK",Micro,,Pontotoc County,Oklahoma,1
10300,"Adrian, MI",Micro,"Detroit-Warren-Ann Arbor, MI",Lenawee County,Michigan,1
10380,"Aguadilla-Isabela, PR",Metro,,Aguada Municipio,Puerto Rico,1
10380,"Aguadilla-Isabela, PR",Metro,,Aguadilla Municipio,Puerto Rico,1
10380,"Aguadilla-Isabela, PR",Metro,,Añasco Municipio,Puerto Rico,1
10380,"Aguadilla-Isabela, PR",Metro,,Isabela Municipio,Puerto Rico,1
10380,"Aguadilla-Isabela, PR",Metro,,Lares Municipio,Puerto Rico,1
10380,"Aguadilla-Isabela, PR",Metro,,Moca Municipio,Puerto Rico,1
10380,"Aguadilla-Isabela, PR",Metro,,Rincón Municipio,Puerto Rico,1
10380,"Aguadilla-Isabela, PR",Metro,,San Sebastián Municipio,Puerto Rico,1
10380,"Aguadilla-Isabela, PR",Metro,,Utuado Municipio,Puerto Rico,1
10420,"Akron, OH",Metro,"Cleveland-Akron-Canton, OH",Portage County,Ohio,1
10420,"Akron, OH",Metro,"Cleveland-Akron-Canton, OH",Summit County,Ohio,1
10460,"Alamogordo, NM",Micro,,Otero County,New Mexico,1
10500,"Albany, GA",Metro,,Dougherty County,Georgia,1
10500,"Albany, GA",Metro,,Lee County,Georgia,1
10500,"Albany, GA",Metro,,Terrell County,Georgia,0
10500,"Albany, GA",Metro,,Worth County,Georgia,0
10540,"Albany-Lebanon, OR",Metro,"Portland-Vancouver-Salem, OR-WA",Linn County,Oregon,1
10580,"Albany-Schenectady-Troy, NY",Metro,"Albany-Schenectady, NY",Albany County,New York,1
10580,"Albany-Schenectady-Troy, NY",Metro,"Albany-Schenectady, NY",Rensselaer County,New York,1
10580,"Albany-Schenectady-Troy, NY",Metro,"Albany-Schenectady, NY",Saratoga County,New York,1
10580,"Albany-Schenectady-Troy, NY",Metro,"Albany-Schenectady, NY",Schenectady County,New York,1
10580,"Albany-Schenectady-Troy, NY",Metro,"Albany-Schenectady, NY",Schoharie County,New York,0
10620,"Albemarle, NC",Micro,"Charlotte-Concord, NC-SC",Stanly County,North Carolina,1
10660,"Albert Lea, MN",Micro,,Freeborn County,Minnesota,1
10700,"Albertville, AL",Micro,,Marshall County,Alabama,1
10740,"Albuquerque, NM",Metro,"Albuquerque-Santa Fe-Las Vegas, NM",Bernalillo County,New Mexico,1
10740,"Albuquerque, NM",Metro,"Albuquerque-Santa Fe-Las Vegas, NM",Sandoval County,New Mexico,1
