city,state_id,county,cbsa_code,lookup_helper
Abanda,AL,Chambers ,29300,AbandaAL
Abbeville,AL,Henry ,20020,AbbevilleAL
Adamsville,AL,Jefferson ,13820,AdamsvilleAL
Akron,AL,Hale ,46220,AkronAL
Alabaster,AL,Shelby ,13820,AlabasterAL
Albertville,AL,Marshall ,10700,AlbertvilleAL
Alexander City,AL,Tallapoosa ,10760,Alexander CityAL
Alexandria,AL,Calhoun ,11500,AlexandriaAL
Aliceville,AL,Pickens ,46220,AlicevilleAL
Allgood,AL,Blount ,13820,AllgoodAL
Altoona,AL,Etowah ,23460,AltoonaAL
Anderson,AL,Lauderdale ,22520,AndersonAL
Anniston,AL,Calhoun ,11500,AnnistonAL
Arab,AL,Marshall ,10700,ArabAL
Ardmore,AL,Limestone ,26620,ArdmoreAL
Argo,AL,Jefferson ,13820,ArgoAL
Ariton,AL,Dale ,37120,AritonAL
Ashford,AL,Houston ,20020,AshfordAL
Ashville,AL,St. Clair ,13820,AshvilleAL
Athens,AL,Limestone ,26620,AthensAL
Atmore,AL,Escambia ,12120,AtmoreAL
Attalla,AL,Etowah ,23460,AttallaAL
Auburn,AL,Lee ,12220,AuburnAL
Autaugaville,AL,Autauga ,33860,AutaugavilleAL
Avon,AL,Houston ,20020,AvonAL
Axis,AL,Mobile ,33660,AxisAL
Baileyton,AL,Cullman ,18980,BaileytonAL
Bakerhill,AL,Barbour ,21640,BakerhillAL
Ballplay,AL,Etowah ,23460,BallplayAL
Banks,AL,Pike ,45980,BanksAL
Bay Minette,AL,Baldwin ,19300,Bay MinetteAL
Bayou La Batre,AL,Mobile ,33660,Bayou La BatreAL
Belle Fontaine,AL,Mobile ,33660,Belle FontaineAL
Benton,AL,Lowndes ,33860,BentonAL
Bessemer,AL,Jefferson ,13820,BessemerAL
Billingsley,AL,Autauga ,33860,BillingsleyAL
Birmingham,AL,Jefferson ,13820,BirminghamAL
Black,AL,Geneva ,20020,BlackAL
Blountsville,AL,Blount ,13820,BlountsvilleAL
Blue Ridge,AL,Elmore ,33860,Blue RidgeAL
Blue Springs,AL,Barbour ,21640,Blue SpringsAL
Boaz,AL,Marshall ,10700,BoazAL
Boligee,AL,Greene ,46220,BoligeeAL
Bon Air,AL,Talladega ,45180,Bon AirAL
Bon Secour,AL,Baldwin ,19300,Bon SecourAL
