Hospital Name,City,Staffed Beds,Total Discharges,Patient Days,State
JBER Elmendorf Air Force Base Hospital,Elmendorf Air Force Base,0,0,0,AK
Mat-Su Regional Medical Center,Palmer,74,4324,17811,AK
Providence Alaska Medical Center,Anchorage,401,15660,109991,AK
The Children's Hospital at Providence,Anchorage,0,0,0,AK
Yukon-Kuskokwim Delta Regional Hospital,Bethel,34,1822,4963,AK
Baptist Medical Center East,Montgomery,207,14510,53341,AL
Baptist Medical Center South,Montgomery,380,17309,84119,AL
Bibb Medical Center,Centreville,156,385,1446,AL
Birmingham VA Medical Center,Birmingham,0,0,0,AL
Brookwood Baptist Medical Center,Birmingham,595,15775,76452,AL
Bryan W. Whitfield Memorial Hospital,Demopolis,57,1028,3535,AL
Bullock County Hospital,Union Springs,54,473,2331,AL
Central Alabama Veterans Health Care System - East Campus,Tuskegee,0,0,0,AL
Central Alabama Veterans Health Care System - West Campus,Montgomery,0,0,0,AL
Citizens Baptist Medical Center,Talladega,98,1916,6564,AL
Clay County Hospital,Ashland,129,927,3991,AL
Community Hospital,Tallassee,47,694,2864,AL
Coosa Valley Medical Center,Sylacauga,222,3011,12704,AL
Crenshaw Community Hospital,Luverne,49,314,1323,AL
Crestwood Medical Center,Huntsville,183,10985,40916,AL
Cullman Regional Medical Center,Cullman,145,7771,26895,AL
D.W. McMillan Memorial Hospital,Brewton,46,1586,6328,AL
Dale Medical Center,Ozark,89,1132,7315,AL
DCH Regional Medical Center,Tuscaloosa,620,31491,146852,AL
Decatur Morgan Hospital,Decatur,286,8787,41331,AL
Decatur Morgan Hospital-Parkway Campus,Decatur,120,1560,5928,AL
DeKalb Regional Medical Center,Fort Payne,115,3207,11591,AL
East Alabama Medical Center,Opelika,339,17291,78863,AL
East Alabama Medical Center - Lanier,Valley,187,2532,11600,AL
Elmore Community Hospital,Wetumpka,33,789,3590,AL
Evergreen Medical Center,Evergreen,44,1543,4719,AL
Fayette Medical Center,Fayette,167,693,1821,AL
Flowers Hospital,Dothan,235,12538,57206,AL
Gadsden Regional Medical Center,Gadsden,271,12898,61618,AL
Grandview Medical Center,Birmingham,402,21858,105337,AL
Greene County Health System,Eutaw,92,355,1764,AL
Grove Hill Memorial Hospital,Grove Hill,30,840,2895,AL
Hale County Hospital,Greensboro,28,380,1183,AL
Helen Keller Hospital,Sheffield,178,6996,27602,AL
Highlands Medical Center,Scottsboro,95,2622,10784,AL
Hill Hospital Of Sumter County,York,33,435,5460,AL
Huntsville Hospital,Huntsville,912,49884,239808,AL
Jack Hughston Memorial Hospital,Phenix City,47,2926,6679,AL
Jackson Hospital,Montgomery,270,15439,74145,AL
Jackson Medical Center,Jackson,35,746,2653,AL
John Paul Jones Hospital,Camden,21,180,504,AL
Lake Martin Community Hospital,Dadeville,46,574,1595,AL
Lakeland Community Hospital,Haleyville,58,1258,4583,AL
Lawrence Medical Center,Moulton,43,573,1513,AL
Madison Hospital,Madison,0,0,0,AL
Marshall Medical Center North,Guntersville,90,4712,18949,AL
Marshall Medical Center South,Boaz,204,7640,34745,AL
Medical Center Barbour,Eufaula,47,1005,3931,AL
Medical Center Enterprise,Enterprise,99,3392,10114,AL
Medical West,Bessemer,231,6652,32107,AL
Mizell Memorial Hospital,Opp,59,1077,4247,AL
Mobile Infirmary Medical Center,Mobile,669,24926,146711,AL
Monroe County Hospital,Monroeville,49,712,2557,AL
North Alabama Medical Center,Florence,233,12472,61969,AL
North Baldwin Infirmary,Bay Minette,70,1922,6207,AL
North Mississippi Medical Center - Hamilton,Hamilton,115,479,1280,AL
Northport Medical Center,Northport,207,5073,26754,AL
Northwest Medical Center,Winfield,71,914,2977,AL
Prattville Baptist Hospital,Prattville,55,2887,12509,AL
Princeton Baptist Medical Center,Birmingham,309,13790,70611,AL
Providence Hospital,Mobile,349,13968,71743,AL
Regional Medical Center of Central Alabama,Greenville,57,790,2988,AL
Riverview Regional Medical Center,Gadsden,281,6497,24619,AL
RMC Anniston,Anniston,287,13011,55893,AL
Russell Medical Center,Alexander City,34,2380,8115,AL
Russellville Hospital,Russellville,49,1699,5958,AL
Saint Vincent's Birmingham,Birmingham,400,21302,103744,AL
Saint Vincent's Chilton,Clanton,26,723,2335,AL
Saint Vincent's East,Birmingham,349,14059,82556,AL
Saint Vincent's Saint Clair,Pell City,40,1850,8561,AL
Shelby Baptist Medical Center,Alabaster,252,10376,46061,AL
Shoals Hospital,Muscle Shoals,184,1194,5448,AL
South Baldwin Regional Medical Center,Foley,112,5246,25994,AL
Southeast Health Medical Center,Dothan,342,20694,99283,AL
Springhill Medical Center,Mobile,209,11527,59522,AL
Thomas Hospital,Fairhope,141,10337,38655,AL
Troy Regional Medical Center,Troy,115,1736,5794,AL
UAB Callahan Eye Hospital,Birmingham,12,110,259,AL
UAB Hospital,Birmingham,1242,53894,334853,AL
UAB Hospital Highlands,Birmingham,73,3641,12477,AL
USA Health University Hospital,Mobile,183,9928,58210,AL
Vaughan Regional Medical Center,Selma,109,5216,17242,AL
Walker Baptist Medical Center,Jasper,259,5842,23886,AL
Wiregrass Medical Center,Geneva,185,805,3502,AL
Arkansas Surgical Hospital,North Little Rock,49,3497,6925,AR
Baptist Health - Little Rock,Little Rock,734,28081,155026,AR
Baptist Health - North Little Rock,North Little Rock,205,10202,41757,AR
Baptist Health - Stuttgart,Stuttgart,49,981,3326,AR
Baptist Health Medical Center Conway,Conway,110,3029,9890,AR
Baptist Health Medical Center-Hot Spring County,Malvern,64,2248,9215,AR
Baptist Health-Fort Smith,Fort Smith,343,12427,58267,AR
Baptist Health-Van Buren,Van Buren,39,1005,2877,AR
Baptist Memorial Hospital-Crittenden,West Memphis,11,544,1217,AR
Baxter Regional Medical Center,Mountain Home,212,9167,32384,AR
Chambers Memorial Hospital,Danville,42,1318,4142,AR
CHI St. Vincent Hot Springs,Hot Springs,229,11605,51792,AR
CHI St. Vincent Infirmary,Little Rock,393,17643,94504,AR
CHI St. Vincent North,Sherwood,59,2235,8851,AR
Conway Regional Medical Center,Conway,150,7607,31383,AR
Drew Memorial Hospital,Monticello,49,2249,7095,AR
Five Rivers Medical Center,Pocahontas,44,613,1869,AR
Forrest City Medical Center,Forrest City,70,2168,7434,AR
Great River Medical Center,Blytheville,33,1423,4442,AR
Helena Regional Medical Center,Helena,127,1540,4791,AR
Jefferson Regional Medical Center,Pine Bluff,316,8873,44226,AR
John L. McClellan Memorial Veterans Hospital,Little Rock,0,0,0,AR
Johnson Regional Medical Center,Clarksville,89,1873,4933,AR
Levi Hospital,Hot Springs National Park,53,1,1,AR
Magnolia Regional Medical Center,Magnolia,30,979,2887,AR
Medical Center of South Arkansas,El Dorado,131,3366,12823,AR
Mena Regional Health System,Mena,65,1174,4712,AR
Mercy Hospital Fort Smith,Fort Smith,385,16332,69263,AR
Mercy Hospital Northwest Arkansas,Rogers,206,12636,43112,AR
Mercy Orthopedic Hospital Fort Smith,Fort Smith,0,0,0,AR
National Park Medical Center,Hot Springs,163,6332,31019,AR
NEA Baptist Memorial Hospital,Jonesboro,204,11786,49492,AR
North Arkansas Regional Medical Center,Harrison,134,3091,9382,AR
Northwest Medical Center - Bentonville,Bentonville,121,5192,22923,AR
Northwest Medical Center - Springdale,Springdale,300,11582,57735,AR
Ouachita County Medical Center,Camden,87,1459,5026,AR
Saint Mary's Regional Health System,Russellville,157,5246,22254,AR
Saline Memorial Hospital,Benton,161,5394,18862,AR
Siloam Springs Regional Hospital,Siloam Springs,44,1733,4830,AR
St. Bernards Medical Center,Jonesboro,351,17965,83767,AR
Unity Health White County Medical Center,Searcy,283,11215,47745,AR
University of Arkansas for Medical Sciences (UAMS) Medical Center,Little Rock,505,28215,152000,AR
Veterans Health Care System of the Ozarks,Fayetteville,0,0,0,AR
Wadley Regional Medical Center at Hope,Hope,79,691,2262,AR
Washington Regional Medical Center,Fayetteville,320,16340,70156,AR
White River Medical Center,Batesville,221,7611,30581,AR
Willow Creek Women's Hospital,Johnson,30,3357,11571,AR
Abrazo West Campus,Goodyear,179,12134,51137,AZ
Arizona Specialty Hospital,Chandler,24,980,2013,AZ
Arizona Spine and Joint Hospital,Mesa,23,1460,2064,AZ
Banner - University Medical Center Tucson,Tucson,479,20951,127160,AZ
Banner - University Medical Center Phoenix,Phoenix,712,30170,173066,AZ
Banner - University Medical Center South Campus,Tucson,150,7383,34017,AZ
Banner Baywood Medical Center,Mesa,340,14601,68249,AZ
Banner Boswell Medical Center,Sun City,525,13678,63622,AZ
Banner Casa Grande Medical Center,Casa Grande,141,6087,22609,AZ
Banner Del E. Webb Medical Center,Sun City West,394,15239,64208,AZ
Banner Desert Medical Center,Mesa,615,37223,166017,AZ
Banner Estrella Medical Center,Phoenix,317,18088,77742,AZ
Banner Gateway Medical Center,Gilbert,165,13162,57196,AZ
Banner Goldfield Medical Center,Apache Junction,20,772,2062,AZ
Banner Heart Hospital,Mesa,111,4708,19807,AZ
