South Creek,WA,Washington,Pierce,2500,125
Roslyn,WA,Washington,Kittitas,947,84
Sprague,WA,Washington,Lincoln,441,163
Gig Harbor,WA,Washington,Pierce,9507,622
Lake Cassidy,WA,Washington,Snohomish,3591,131
Tenino,WA,Washington,Thurston,1830,491
Jamestown,WA,Washington,Clallam,289,191
Three Lakes,WA,Washington,Snohomish,3390,112
Curlew Lake,WA,Washington,Ferry,573,50
Chain Lake,WA,Washington,Snohomish,4280,156
Pateros,WA,Washington,Okanogan,701,536
Rosburg,WA,Washington,Wahkiakum,385,6
Parkland,WA,Washington,Pierce,37019,1653
Birch Bay,WA,Washington,Whatcom,8642,208
Ashford,WA,Washington,Pierce,162,30
Navy Yard City,WA,Washington,Kitsap,3154,1978
Omak,WA,Washington,Okanogan,8130,478
Farmington,WA,Washington,Whitman,154,164
Buckley,WA,Washington,Pierce,4819,482
Cathcart,WA,Washington,Snohomish,2506,250
Poulsbo,WA,Washington,Kitsap,10670,869
Anacortes,WA,Washington,Skagit,17955,559
Maplewood,WA,Washington,Pierce,5340,248
Creston,WA,Washington,Lincoln,226,212
Rockford,WA,Washington,Spokane,477,271
Wishram,WA,Washington,Klickitat,438,131
Centralia,WA,Washington,Lewis,41643,883
South Hill,WA,Washington,Pierce,56379,1185
Longview Heights,WA,Washington,Cowlitz,3678,337
Erlands Point-Kitsap Lake,WA,Washington,Kitsap,2973,655
Amboy,WA,Washington,Clark,2027,78
St. John,WA,Washington,Whitman,561,322
Dallesport,WA,Washington,Klickitat,1739,99
Ketron Island,WA,Washington,Pierce,0,0
Mesa,WA,Washington,Franklin,503,119
Fife,WA,Washington,Pierce,10154,684
Moses Lake North,WA,Washington,Grant,3787,264
Chewelah,WA,Washington,Stevens,2637,341
Grayland,WA,Washington,Grays Harbor,756,42
Kittitas,WA,Washington,Kittitas,1491,729
Camano,WA,Washington,Island,15989,155
Monroe North,WA,Washington,Snohomish,1704,282
North Bonneville,WA,Washington,Skamania,999,154
Klickitat,WA,Washington,Klickitat,358,147
Loon Lake,WA,Washington,Stevens,784,92
Newport,WA,Washington,Pend Oreille,2635,624
Mead,WA,Washington,Spokane,6859,364
Cashmere,WA,Washington,Chelan,4864,1061
Aberdeen Gardens,WA,Washington,Grays Harbor,283,67
Ocean Shores,WA,Washington,Grays Harbor,5553,268
Basin City,WA,Washington,Franklin,1281,155
Wilkeson,WA,Washington,Pierce,507,420
Meadow Glade,WA,Washington,Clark,2895,307
Arlington Heights,WA,Washington,Snohomish,2826,129
Uniontown,WA,Washington,Whitman,343,143
Oakesdale,WA,Washington,Whitman,442,164
West Side Highway,WA,Washington,Cowlitz,5902,901
Conconully,WA,Washington,Okanogan,208,300
Latah,WA,Washington,Spokane,187,225
Elma,WA,Washington,Grays Harbor,3092,468
Tieton,WA,Washington,Yakima,1294,570
Southworth,WA,Washington,Kitsap,2280,260
Danville,WA,Washington,Ferry,19,41
Toppenish,WA,Washington,Yakima,14441,1627
River Road,WA,Washington,Clallam,952,1055
Geneva,WA,Washington,Whatcom,2632,958
Yakima,WA,Washington,Yakima,133233,1302
Moxee,WA,Washington,Yakima,4032,670
Edmonds,WA,Washington,Snohomish,42209,1829
Kalama,WA,Washington,Cowlitz,3794,297
Laurier,WA,Washington,Ferry,0,0
Vashon,WA,Washington,King,9635,100
Country Homes,WA,Washington,Spokane,5730,1339
Darrington,WA,Washington,Snohomish,1406,306
Metaline Falls,WA,Washington,Pend Oreille,245,446
Lyle,WA,Washington,Klickitat,548,299
Cascade Valley,WA,Washington,Grant,1797,232
Spangle,WA,Washington,Spokane,307,339
Methow,WA,Washington,Okanogan,78,44
Waterville,WA,Washington,Douglas,1198,533
Lake Roesiger,WA,Washington,Snohomish,657,64
Milton,WA,Washington,Pierce,8230,1185
Krupp,WA,Washington,Grant,50,32
Alderton,WA,Washington,Pierce,3303,240
DuPont,WA,Washington,Pierce,9487,629
Edgewood,WA,Washington,Pierce,11213,515
North Puyallup,WA,Washington,Pierce,1848,684
Pacific Beach,WA,Washington,Grays Harbor,538,171
Manson,WA,Washington,Chelan,1532,472
Brewster,WA,Washington,Okanogan,2343,785
Battle Ground,WA,Washington,Clark,20576,938
Shoreline,WA,Washington,King,56189,1864
Cosmopolis,WA,Washington,Grays Harbor,1624,452
Airway Heights,WA,Washington,Spokane,8166,524
Grandview,WA,Washington,Yakima,18858,670
Inchelium,WA,Washington,Ferry,413,6
Grand Coulee,WA,Washington,Grant,1042,330
Union,WA,Washington,Mason,272,64
Torboy,WA,Washington,Ferry,48,19
Kelso,WA,Washington,Cowlitz,12130,580
Westport,WA,Washington,Grays Harbor,2051,214
Junction City,WA,Washington,Grays Harbor,10,2
Lake Ketchum,WA,Washington,Snohomish,894,166
West Pasco,WA,Washington,Franklin,1233,280
Des Moines,WA,Washington,King,31238,1875
Davenport,WA,Washington,Lincoln,1708,395
Seattle,WA,Washington,King,3643765,3336
Lake Stickney,WA,Washington,Snohomish,9667,2441
Carnation,WA,Washington,King,2164,725
Everett,WA,Washington,Snohomish,110079,1278
Warden,WA,Washington,Grant,2716,366
Palouse,WA,Washington,Whitman,1055,388
Terrace Heights,WA,Washington,Yakima,7849,377
Clarkston,WA,Washington,Asotin,7396,1430
Elmer City,WA,Washington,Okanogan,247,401
Mossyrock,WA,Washington,Lewis,789,444
Summit View,WA,Washington,Pierce,7421,885
Suquamish,WA,Washington,Kitsap,4108,232
Newcastle,WA,Washington,King,11681,1014
Stanwood,WA,Washington,Snohomish,7161,937
Kapowsin,WA,Washington,Pierce,391,36
Donald,WA,Washington,Yakima,0,0
Altoona,WA,Washington,Wahkiakum,61,4
South Prairie,WA,Washington,Pierce,443,441
Eschbach,WA,Washington,Yakima,377,123
Indianola,WA,Washington,Kitsap,3520,258
Reardan,WA,Washington,Lincoln,582,451
Cowiche,WA,Washington,Yakima,960,708
Sunday Lake,WA,Washington,Snohomish,666,148
Rocky Point,WA,Washington,Kitsap,1449,790
Burbank,WA,Washington,Walla Walla,3398,99
Lakeland North,WA,Washington,King,12487,1452
Granite Falls,WA,Washington,Snohomish,6565,632
Camas,WA,Washington,Clark,23331,646
Skokomish,WA,Washington,Mason,755,43
Cusick,WA,Washington,Pend Oreille,217,161
Rosalia,WA,Washington,Whitman,567,348
Longbranch,WA,Washington,Pierce,3236,62
Granger,WA,Washington,Yakima,3542,841
North Fort Lewis,WA,Washington,Pierce,5009,328
Tampico,WA,Washington,Yakima,465,46
Tukwila,WA,Washington,King,20144,847
Cathlamet,WA,Washington,Wahkiakum,553,428
Wenatchee,WA,Washington,Chelan,71512,1314
Port Ludlow,WA,Washington,Jefferson,2642,88
Castle Rock,WA,Washington,Cowlitz,2833,433
Glacier,WA,Washington,Whatcom,102,13
Index,WA,Washington,Snohomish,205,384
Republic,WA,Washington,Ferry,1062,274
Bellevue,WA,Washington,King,144444,1666
Malo,WA,Washington,Ferry,72,236
